Tx,Rx,Various Points,SNR Receiver,SNR Stages,BER Receiver,BER Environmental,Modulation Format,Modulation Depth,Transmission Distance,Distance Between,Fiber Attenuation,Splice Losses,Optical Amplifier Gain,PMD Coefficient,PMD Compensation,CD Coefficient,CD Compensation,Temperature,Humidity,Predicted Label
10.5,15.2,12.8,23.6,22.1,1.2e-06,1.5e-06,AM,0.8,20,5,0.1,0.2,10,0.05,PMD Compensated,0.03,CD Compensated,25,60,0
11.2,16.5,12.6,24.2,22.8,1.4e-06,1.6e-06,FM,0.7,21,6,0.11,0.22,12,0.06,PMD Compensated,0.04,CD Compensated,26,61,0
9.8,14.8,12.9,23.4,21.9,1.1e-06,1.4e-06,PM,0.9,19,4,0.09,0.18,9,0.04,PMD Compensated,0.02,CD Compensated,24,59,0
12.1,18.2,13.2,24.8,23.5,1.6e-06,1.7e-06,AM,0.8,22,7,0.12,0.24,11,0.07,PMD Compensated,0.05,CD Compensated,27,62,0
10.9,15.8,13.0,24.0,22.5,1.3e-06,1.5e-06,FM,0.7,20,5,0.1,0.2,10,0.05,PMD Compensated,0.03,CD Compensated,25,60,0
11.5,16.9,13.3,24.4,22.9,1.5e-06,1.6e-06,PM,0.9,21,6,0.11,0.22,12,0.06,PMD Compensated,0.04,CD Compensated,26,61,0
9.7,14.5,12.7,23.2,21.7,1e-06,1.3e-06,AM,0.8,19,4,0.09,0.18,9,0.04,PMD Compensated,0.02,CD Compensated,24,59,0
12.3,18.5,13.5,25.0,23.7,1.7e-06,1.8e-06,FM,0.7,22,7,0.12,0.24,11,0.07,PMD Compensated,0.05,CD Compensated,27,62,0
11.0,16.2,13.1,24.2,22.6,1.4e-06,1.5e-06,PM,0.9,20,5,0.1,0.2,10,0.05,PMD Compensated,0.03,CD Compensated,25,60,0
9.5,14.3,12.6,23.0,21.5,9e-07,1.2e-06,AM,0.8,18,3,0.08,0.16,8,0.03,PMD Compensated,0.01,CD Compensated,23,58,1
9.6,14.6,12.8,23.2,21.7,1e-06,1.3e-06,AM,0.8,18,3,0.08,0.16,8,0.03,PMD Compensated,0.01,CD Compensated,23,58,1
10.1,14.9,12.7,23.2,21.7,1e-06,1.3e-06,FM,0.7,18,3,0.08,0.16,8,0.03,PMD Compensated,0.01,CD Compensated,23,58,1
10.2,14.8,12.6,23.0,21.5,9e-07,1.2e-06,PM,0.9,18,3,0.08,0.16,8,0.03,PMD Compensated,0.01,CD Compensated,23,58,1
9.6,14.7,12.8,23.2,21.7,1e-06,1.3e-06,AM,0.8,18,3,0.08,0.16,8,0.03,PMD Compensated,0.01,CD Compensated,23,58,1
10.1,14.9,12.7,23.2,21.7,1e-06,1.3e-06,FM,0.7,18,3,0.08,0.16,8,0.03,PMD Compensated,0.01,CD Compensated,23,58,1
9.5,14.3,12.6,23.0,21.5,9e-07,1.2e-06,AM,0.8,18,3,0.08,0.16,8,0.03,PMD Compensated,0.01,CD Compensated,23,58,1
9.6,14.7,12.8,23.2,21.7,1e-06,1.3e-06,AM,0.8,18,3,0.08,0.16,8,0.03,PMD Compensated,0.01,CD Compensated,23,58,1
10.1,14.9,12.7,23.2,21.7,1e-06,1.3e-06,FM,0.7,18,3,0.08,0.16,8,0.03,PMD Compensated,0.01,CD Compensated,23,58,1
